Frequency(Hz),Magnitude(dB),Phase(deg)
14526.692,7.783087604426896,170.769287
14708.713,8.357474604426898,64.467491
14893.015,8.762679604426893,-43.937771
15079.625,9.008361604426895,-154.265549
15268.574,9.100951604426896,93.659904
15459.891,9.040503604426888,-19.822214
15653.604,8.82606460442689,-134.380554
15849.745,8.456725604426893,109.949043
16048.344,7.930129604426895,-6.486335
16249.431,7.2505256044268975,-123.358849
16453.037,6.436995604426897,119.511604
16659.195,5.519225604426893,2.261406
16867.936,4.520735604426889,-115.161896
17079.293,3.448004604426899,126.888496
17293.297,2.3055336044268984,8.567327
17509.984,1.1008216044268977,-110.226822
17729.385,-0.15594539557309872,130.31459
17951.535,-1.4409953955731112,9.845356
18176.471,-2.6905373955731022,-111.679123
18404.223,-3.8363963955731037,125.635391
18634.83,-4.865692395573106,1.291407
18868.324,-5.813340395573107,-125.042389
19104.746,-6.717819395573102,106.27903
19344.131,-7.600235395573108,-24.877216
19586.514,-8.483956395573102,-158.98497
19831.936,-9.408081395573106,63.441681
20080.43,-10.42024339557311,-78.215347
20332.039,-11.564469395573099,135.274582
20586.801,-12.877465395573111,-16.191694
20844.756,-14.4007043955731,-174.301498
21105.941,-16.18911039557311,16.643776
21370.402,-18.3184823955731,-145.340775
21638.174,-20.873307395573107,67.382423
21909.303,-23.948944395573108,-66.136955
22183.828,-27.5211343955731,133.303543
22461.793,-31.739380395573107,-27.75428
22743.24,-36.7346043955731,-176.800598
23028.215,-42.582039395573105,116.688896
23316.76,-48.9382633955731,129.924377
