Frequency(Hz), Magnitude(dB),  Phase(deg)
 6386.209, 117.947304, -69.988503
 6466.229, 117.728577, -114.203545
 6547.251, 117.481194, -158.284821
 6629.289, 117.227158, 157.848541
 6712.354, 117.004211, 113.702133
 6796.461, 116.847549, 68.936745
 6881.621, 116.768173, 23.427359
 6967.848, 116.741882, -22.831276
 7055.156, 116.743172, -69.507805
 7143.558, 116.778351, -116.368362
 7233.067, 116.926224, -163.550659
 7323.698, 117.240921, 148.038712
 7415.464, 117.632751, 98.032104
 7508.381, 117.931816, 46.669525
 7602.461, 118.086288, -5.080360
 7697.721, 118.150108, -57.449657
 7794.174, 118.210388, -110.543732
 7891.835, 118.316544, -164.407593
 7990.721, 118.453606, 140.759018
 8090.845, 118.538284, 84.765442
 8192.224, 118.502159, 27.940891
 8294.873, 118.364372, -29.443628
 8398.809, 118.230042, -86.673401
 8504.047, 118.185646, -143.630417
 8610.603, 118.209976, 158.869690
 8718.494, 118.222427, 99.842415
 8827.737, 118.209724, 39.633152
 8938.350, 118.204185, -21.447317
 9050.349, 118.247406, -83.291023
 9163.750, 118.358566, -145.801346
 9278.572, 118.522476, 150.985413
 9394.834, 118.690720, 86.288994
 9512.552, 118.801514, 20.078775
 9631.744, 118.820686, -46.816864
 9752.431, 118.751526, -114.088875
 9874.630, 118.617569, 177.861893
 9998.359, 118.442574, 108.952400
10123.640, 118.237907, 39.159447
10250.490, 118.008408, -31.269091
10378.930, 117.765282, -102.480095
10508.979, 117.527832, -174.498932
10640.656, 117.319824, 112.784149
10773.984, 117.162247, 39.531300
10908.983, 117.051460, -34.163929
11045.674, 116.942253, -108.916145
11184.077, 116.780861, 174.893478
11324.215, 116.556793, 97.849823
11466.107, 116.286766, 20.098444
11609.779, 115.987656, -58.412666
11755.250, 115.665604, -138.083496
11902.545, 115.314522, 141.453171
12051.685, 114.930679, 60.673775
12202.693, 114.526306, -20.020813
12355.594, 114.124954, -100.763924
12510.410, 113.761223, 178.093430
12667.167, 113.477371, 96.252251
12825.888, 113.329758, 13.674057
12986.597, 113.377953, -70.066467
13149.319, 113.677094, -155.304611
13314.082, 114.267639, 118.174721
13480.908, 115.144196, 30.315533
13649.825, 116.226768, -59.325405
13820.858, 117.387894, -151.270020
13994.035, 118.519775, 113.655495
14169.381, 119.556740, 15.563923
14346.925, 120.461456, -85.497520
14526.692, 121.207954, 170.769287
14708.713, 121.782341, 64.467491
14893.015, 122.187546, -43.937771
15079.625, 122.433228, -154.265549
15268.574, 122.525818, 93.659904
15459.891, 122.465370, -19.822214
15653.604, 122.250931, -134.380554
15849.745, 121.881592, 109.949043
16048.344, 121.354996, -6.486335
16249.431, 120.675392, -123.358849
16453.037, 119.861862, 119.511604
16659.195, 118.944092, 2.261406
16867.936, 117.945602, -115.161896
17079.293, 116.872871, 126.888496
17293.297, 115.730400, 8.567327
17509.984, 114.525688, -110.226822
17729.385, 113.268921, 130.314590
17951.535, 111.983871, 9.845356
18176.471, 110.734329, -111.679123
18404.223, 109.588470, 125.635391
18634.830, 108.559174, 1.291407
18868.324, 107.611526, -125.042389
19104.746, 106.707047, 106.279030
19344.131, 105.824631, -24.877216
19586.514, 104.940910, -158.984970
19831.936, 104.016785, 63.441681
20080.430, 103.004623, -78.215347
20332.039, 101.860397, 135.274582
20586.801, 100.547401, -16.191694
20844.756, 99.024162, -174.301498
21105.941, 97.235756, 16.643776
21370.402, 95.106384, -145.340775
21638.174, 92.551559, 67.382423
21909.303, 89.475922, -66.136955
22183.828, 85.903732, 133.303543
22461.793, 81.685486, -27.754280
22743.240, 76.690262, -176.800598
23028.215, 70.842827, 116.688896
23316.760, 64.486603, 129.924377
